3151723,-25.0,97598.0,,,0.0,-8.0,,,,,100.0,NotFound,63.0,-300.0,Unknown,,166.0,,529.0,549.0,,,,,,,,New,NotFound,Windows 10,chrome 63.0,24.0,1360x768,match_status:2,T,F,F,T,desktop,Windows
3059140,0.0,147786.0,,,2.0,0.0,,,,,100.0,NotFound,,-420.0,New,NotFound,166.0,13.0,410.0,324.0,,,,,,,,New,NotFound,iOS 11.1.2,mobile safari generic,32.0,2048x1536,match_status:2,T,F,T,T,mobile,iOS Device
3486823,-20.0,15177.0,,,0.0,-25.0,16.0,-33.0,,,100.0,Found,15.0,-300.0,New,NotFound,166.0,12.0,317.0,535.0,252.0,14.0,IP_PROXY:TRANSPARENT,11.0,321.0,169.0,Found,New,NotFound,Android 5.0.2,chrome generic,32.0,1280x740,match_status:2,T,F,T,T,mobile,LG-V410/V41020c
3063373,-5.0,99702.0,,,22.0,-29.0,,,,,100.0,NotFound,49.0,-480.0,New,NotFound,166.0,15.0,321.0,177.0,,,,,,,,New,NotFound,iOS 11.1.2,mobile safari 11.0,32.0,1334x750,match_status:1,T,F,F,T,mobile,iOS Device
3256130,-20.0,133218.0,,,0.0,0.0,,,0.0,0.0,100.0,Found,33.0,-480.0,Unknown,,166.0,13.0,542.0,222.0,,,,,,,,Found,Found,Mac OS X 10_13_2,chrome 63.0,24.0,2880x1800,match_status:2,T,F,F,F,desktop,MacOS
3543211,-5.0,130682.0,0.0,0.0,0.0,-8.0,,,0.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,290.0,325.0,,,,,,,,Found,Found,,chrome 66.0,,,,F,F,T,F,desktop,Windows
3560058,-30.0,213271.0,,,0.0,0.0,,,,,100.0,NotFound,52.0,,New,NotFound,225.0,,266.0,507.0,,,,,,,,New,NotFound,,chrome 66.0,,,,F,F,T,F,desktop,
3089668,0.0,18358.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,,-420.0,Found,Found,166.0,,193.0,472.0,,,,,,,,Found,Found,Android 7.0,chrome 63.0 for android,32.0,1920x1080,match_status:2,T,F,T,T,mobile,SAMSUNG-SM-G930A Build/NRD90M
3067202,-50.0,7774.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,Found,52.0,-600.0,Found,Found,166.0,,529.0,216.0,,,,,,,,Found,Found,Windows 10,chrome 63.0,24.0,3840x2160,match_status:2,T,F,T,F,desktop,Windows
3522983,-15.0,,,,,,,,,,,NotFound,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3070530,-5.0,118204.0,0.0,0.0,21.0,-6.0,,,1.0,-13.0,100.0,Found,52.0,-300.0,Found,Found,166.0,13.0,410.0,549.0,,,,,,,,Found,Found,Windows 7,ie 11.0 for desktop,24.0,1280x1024,match_status:2,T,F,T,T,desktop,Trident/7.0
3025477,-5.0,94069.0,0.0,0.0,0.0,0.0,,,0.0,0.0,100.0,NotFound,52.0,-360.0,Found,Found,166.0,,216.0,272.0,,,,,,,,Found,Found,Windows 10,chrome 63.0,24.0,,match_status:2,T,F,T,T,desktop,Windows
3121574,0.0,224212.0,,,0.0,0.0,,,,,100.0,NotFound,,,New,NotFound,225.0,,153.0,563.0,,,,,,,,New,NotFound,,chrome 63.0 for android,,,,F,F,T,T,mobile,SM-G900T1
3415235,-20.0,828544.0,,,0.0,0.0,,,,,100.0,NotFound,64.0,,Unknown,,225.0,,266.0,305.0,,,,,,,,New,NotFound,,mobile safari generic,,,,F,F,F,F,mobile,
3546617,-10.0,525.0,0.0,0.0,6.0,0.0,,,0.0,0.0,100.0,Found,52.0,-300.0,Found,Found,166.0,,633.0,533.0,,,,,,,,Found,Found,Windows 10,edge 16.0,24.0,1366x767,match_status:2,T,F,T,F,desktop,Windows
3527856,-5.0,61696.0,2.0,0.0,0.0,0.0,,,2.0,0.0,100.0,NotFound,52.0,,Found,Found,225.0,,266.0,305.0,,,,,,,,Found,Found,,chrome 66.0,,,,F,F,T,F,desktop,Windows
3116460,0.0,294601.0,,,0.0,0.0,,,,,100.0,NotFound,,,New,NotFound,225.0,,266.0,507.0,,,,,,,,New,NotFound,,chrome 63.0,,,,F,F,T,T,desktop,
